107.77.204.65 - - [20/Sep/2023:02:02:57 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM_lhtFTeU.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.65 - - [20/Sep/2023:02:02:57 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
107.77.204.65 - - [20/Sep/2023:02:02:57 +0000] "GET /discussions/ HTTP/2.0" 200 11175 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
3.248.204.141 - - [20/Sep/2023:02:22:22 +0000] "GET /robots.txt HTTP/1.1" 404 158 "-" "Pandalytics/1.0 (https://domainsbot.com/pandalytics/)" "-"
3.248.204.141 - - [20/Sep/2023:02:22:22 +0000] "GET / HTTP/1.1" 200 7716 "-" "Pandalytics/1.0 (https://domainsbot.com/pandalytics/)" "-"
68.1.19.59 - - [20/Sep/2023:02:37:59 +0000] "GET / HTTP/1.1" 200 7719 "-" "python-requests/2.28.2" "-"
68.1.19.59 - - [20/Sep/2023:02:38:00 +0000] "GET /index_files/gateway_login_form_view.js.download HTTP/1.1" 404 158 "-" "python-requests/2.28.2" "-"
20.105.203.180 - - [20/Sep/2023:02:46:24 +0000] "GET / HTTP/1.1" 200 7724 "-" "Python/3.11 aiohttp/3.8.4" "-"
167.248.133.49 - - [20/Sep/2023:03:25:29 +0000] "GET / HTTP/1.1" 200 38857 "-" "-" "-"
167.248.133.49 - - [20/Sep/2023:03:25:30 +0000] "GET / HTTP/1.1" 200 7720 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
162.142.125.216 - - [20/Sep/2023:04:43:03 +0000] "GET / HTTP/1.1" 200 38857 "-" "-" "-"
162.142.125.216 - - [20/Sep/2023:04:43:03 +0000] "GET / HTTP/1.1" 200 7721 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
138.246.253.24 - - [20/Sep/2023:05:30:18 +0000] "GET /robots.txt HTTP/1.1" 404 179 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36" "-"
20.113.27.135 - - [20/Sep/2023:06:28:00 +0000] "GET / HTTP/1.1" 200 38857 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36" "-"
68.1.19.59 - - [20/Sep/2023:06:44:26 +0000] "GET / HTTP/1.1" 200 7718 "-" "python-requests/2.28.2" "-"
68.1.19.59 - - [20/Sep/2023:06:44:26 +0000] "GET /index_files/gateway_login_form_view.js.download HTTP/1.1" 404 158 "-" "python-requests/2.28.2" "-"
68.183.1.92 - - [20/Sep/2023:06:45:33 +0000] "GET / HTTP/1.1" 200 7719 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET / HTTP/2.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET /discussions/ HTTP/2.0" 200 11156 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.17.18_AM_a5bORwP.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.17.18_AM.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM_lhtFTeU.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:31 +0000] "GET /media/post_images/Screen_Recording_2023-07-26_at_12.14.55_AM.mov HTTP/2.0" 404 104 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:32 +0000] "GET /discussions/ HTTP/2.0" 200 11179 "https://aleflabs.org/discussions/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:38 +0000] "GET /admin HTTP/2.0" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:38 +0000] "GET /admin/ HTTP/2.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:01:38 +0000] "GET /admin/login/?next=/admin/ HTTP/2.0" 200 1251 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
195.5.50.40 - - [20/Sep/2023:07:01:39 +0000] "GET /admin HTTP/1.1" 301 5 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
217.20.185.198 - - [20/Sep/2023:07:01:40 +0000] "GET /admin/ HTTP/1.1" 302 0 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
195.5.50.40 - - [20/Sep/2023:07:01:41 +0000] "GET /admin/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
217.20.185.198 - - [20/Sep/2023:07:01:41 +0000] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1314 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
195.5.50.40 - - [20/Sep/2023:07:01:42 +0000] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1307 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:02:01 +0000] "POST /admin/login/?next=/admin/ HTTP/2.0" 302 0 "https://aleflabs.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:02:01 +0000] "GET /admin/ HTTP/2.0" 200 2246 "https://aleflabs.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:02:12 +0000] "GET /admin/article/article/ HTTP/2.0" 200 2926 "https://aleflabs.org/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
92.253.212.157 - - [20/Sep/2023:07:02:13 +0000] "GET /admin/jsi18n/ HTTP/2.0" 200 899 "https://aleflabs.org/admin/article/article/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36" "-"
